"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R650","2019-07-09 00:00:00","29.000","39.000","0.300","26.300","0.990","1006.600","-99.000","40.500","-99.000","-99.000","-99.000","30.600","","25.600",""
"C0E740","2019-07-09 00:00:00","27.000","239.000","2.200","29.200","0.740","1002.300","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","28.500",""
"C0AI20","2019-07-09 00:00:00","25.000","168.000","1.500","27.400","0.830","1002.200","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","27.200",""
"C0E550","2019-07-09 00:00:00","84.000","246.000","1.600","28.400","0.720","997.000","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","28.200",""
"C0X060","2019-07-09 00:00:00","19.000","172.000","2.300","26.400","0.940","1007.500","-99.000","16.000","-99.000","-99.000","-99.000","32.200","","25.000",""
"C0R510","2019-07-09 00:00:00","31.000","322.000","0.800","26.800","0.930","1005.400","-99.000","34.500","-99.000","-99.000","-99.000","29.800","","25.600",""
"C0AC60","2019-07-09 00:00:00","55.000","178.000","0.500","27.300","0.910","999.300","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","26.100",""
"C0UA70","2019-07-09 00:00:00","547.000","224.000","3.100","24.100","0.990","946.400","-99.000","3.500","-99.000","-99.000","-99.000","31.600","","23.900",""
"C0G740","2019-07-09 00:00:00","24.000","166.000","2.200","28.000","0.800","1004.600","-99.000","0.500","-99.000","-99.000","-99.000","33.100","","26.800",""
"C0F9N0","2019-07-09 00:00:00","75.000","166.000","2.500","29.500","0.710","998.900","-99.000","0.500","-99.000","-99.000","-99.000","34.800","","27.200",""
"C0F9T0","2019-07-09 00:00:00","111.000","174.000","1.800","29.100","0.730","994.800","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","28.100",""
"C0S710","2019-07-09 00:00:00","382.000","29.000","0.400","24.800","0.870","965.000","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","23.200",""
"C0M680","2019-07-09 00:00:00","37.000","177.000","1.800","27.600","0.850","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","26.600",""
"C0X220","2019-07-09 00:00:00","26.000","159.000","3.000","26.700","0.890","1005.100","-99.000","2.000","-99.000","-99.000","-99.000","31.500","","25.400",""
"C0R560","2019-07-09 00:00:00","22.000","0.000","0.200","26.500","0.940","1006.400","-99.000","35.000","-99.000","-99.000","-99.000","29.200","","25.300",""
"C0F9P0","2019-07-09 00:00:00","26.000","200.000","3.600","29.200","0.770","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","28.200",""
"C0O970","2019-07-09 00:00:00","71.000","124.000","1.600","25.800","1.000","1000.700","-99.000","6.000","-99.000","-99.000","-99.000","32.000","","24.200",""
"C0F0B0","2019-07-09 00:00:00","311.000","234.000","3.100","27.000","0.810","972.700","-99.000","4.500","-99.000","-99.000","-99.000","31.100","","27.000",""
"C0R620","2019-07-09 00:00:00","34.000","249.000","4.900","28.400","0.900","1004.700","-99.000","9.500","-99.000","-99.000","-99.000","30.600","","26.200",""
"C0C660","2019-07-09 00:00:00","176.000","213.000","1.700","28.100","0.730","985.900","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","26.900",""
"C0M740","2019-07-09 00:00:00","15.000","190.000","3.000","28.300","0.820","1005.100","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","27.100",""
"C0K460","2019-07-09 00:00:00","60.000","192.000","3.400","27.700","0.790","999.600","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","27.100",""
"C0X100","2019-07-09 00:00:00","10.000","131.000","1.800","28.400","0.890","1005.200","-99.000","31.000","-99.000","-99.000","-99.000","31.800","","26.600",""
"C0K560","2019-07-09 00:00:00","117.000","116.000","0.500","25.500","0.860","994.700","-99.000","0.500","-99.000","-99.000","-99.000","34.200","","24.700",""
"C0R150","2019-07-09 00:00:00","105.000","92.000","1.700","26.200","0.990","995.700","-99.000","15.000","-99.000","-99.000","-99.000","29.500","","24.900",""
